==========================================================
GRU Cell Parallel Cycle Count Results
==========================================================
Parameters:
  D (Input Dimension):     64
Test Vector  35: 28 cycles (0.28 us @ 100MHz)
Test Vector  36: 28 cycles (0.28 us @ 100MHz)
Test Vector  37: 28 cycles (0.28 us @ 100MHz)
Test Vector  38: 28 cycles (0.28 us @ 100MHz)
Test Vector  39: 28 cycles (0.28 us @ 100MHz)
Test Vector  40: 28 cycles (0.28 us @ 100MHz)
Test Vector  41: 28 cycles (0.28 us @ 100MHz)
Test Vector  42: 28 cycles (0.28 us @ 100MHz)
Test Vector  43: 28 cycles (0.28 us @ 100MHz)
Test Vector  44: 28 cycles (0.28 us @ 100MHz)
Test Vector  45: 28 cycles (0.28 us @ 100MHz)
Test Vector  46: 28 cycles (0.28 us @ 100MHz)
Test Vector  47: 28 cycles (0.28 us @ 100MHz)
Test Vector  48: 28 cycles (0.28 us @ 100MHz)
Test Vector  49: 28 cycles (0.28 us @ 100MHz)
Test Vector  50: 28 cycles (0.28 us @ 100MHz)
Test Vector  51: 28 cycles (0.28 us @ 100MHz)
Test Vector  52: 28 cycles (0.28 us @ 100MHz)
Test Vector  53: 28 cycles (0.28 us @ 100MHz)
Test Vector  54: 28 cycles (0.28 us @ 100MHz)
Test Vector  55: 28 cycles (0.28 us @ 100MHz)
Test Vector  56: 28 cycles (0.28 us @ 100MHz)
Test Vector  57: 28 cycles (0.28 us @ 100MHz)
Test Vector  58: 28 cycles (0.28 us @ 100MHz)
Test Vector  59: 28 cycles (0.28 us @ 100MHz)
Test Vector  60: 28 cycles (0.28 us @ 100MHz)
Test Vector  61: 28 cycles (0.28 us @ 100MHz)
Test Vector  62: 28 cycles (0.28 us @ 100MHz)
Test Vector  63: 28 cycles (0.28 us @ 100MHz)
Test Vector  64: 28 cycles (0.28 us @ 100MHz)
Test Vector  65: 28 cycles (0.28 us @ 100MHz)
Test Vector  66: 28 cycles (0.28 us @ 100MHz)
Test Vector  67: 28 cycles (0.28 us @ 100MHz)
Test Vector  68: 28 cycles (0.28 us @ 100MHz)
Test Vector  69: 28 cycles (0.28 us @ 100MHz)
Test Vector  70: 28 cycles (0.28 us @ 100MHz)
Test Vector  71: 28 cycles (0.28 us @ 100MHz)
Test Vector  72: 28 cycles (0.28 us @ 100MHz)
Test Vector  73: 28 cycles (0.28 us @ 100MHz)
Test Vector  74: 28 cycles (0.28 us @ 100MHz)
Test Vector  75: 28 cycles (0.28 us @ 100MHz)
Test Vector  76: 28 cycles (0.28 us @ 100MHz)
Test Vector  77: 28 cycles (0.28 us @ 100MHz)
Test Vector  78: 28 cycles (0.28 us @ 100MHz)
Test Vector  79: 28 cycles (0.28 us @ 100MHz)
Test Vector  80: 28 cycles (0.28 us @ 100MHz)
Test Vector  81: 28 cycles (0.28 us @ 100MHz)
Test Vector  82: 28 cycles (0.28 us @ 100MHz)
Test Vector  83: 28 cycles (0.28 us @ 100MHz)
Test Vector  84: 28 cycles (0.28 us @ 100MHz)
Test Vector  85: 28 cycles (0.28 us @ 100MHz)
Test Vector  86: 28 cycles (0.28 us @ 100MHz)
Test Vector  87: 28 cycles (0.28 us @ 100MHz)
Test Vector  88: 28 cycles (0.28 us @ 100MHz)
Test Vector  89: 28 cycles (0.28 us @ 100MHz)
Test Vector  90: 28 cycles (0.28 us @ 100MHz)
Test Vector  91: 28 cycles (0.28 us @ 100MHz)
Test Vector  92: 28 cycles (0.28 us @ 100MHz)
Test Vector  93: 28 cycles (0.28 us @ 100MHz)
Test Vector  94: 28 cycles (0.28 us @ 100MHz)
Test Vector  95: 28 cycles (0.28 us @ 100MHz)
Test Vector  96: 28 cycles (0.28 us @ 100MHz)
Test Vector  97: 28 cycles (0.28 us @ 100MHz)
Test Vector  98: 28 cycles (0.28 us @ 100MHz)
Test Vector  99: 28 cycles (0.28 us @ 100MHz)
Test Vector 100: 28 cycles (0.28 us @ 100MHz)

==========================================================
SUMMARY
==========================================================
Total Test Vectors: 100
Total Cycles:       2800
Average Cycles:     28.00
Total Time:         28.00 us @ 100MHz
Average Time:       0.28 us @ 100MHz
Throughput:         3571.43 computations/ms @ 100MHz
==========================================================
