==========================================================
GRU Cell Parallel Cycle Count Results
==========================================================
Parameters:
  D (Input Dimension):     64
Test Vector  94: 52 cycles (0.52 us @ 100MHz)
Test Vector  95: 52 cycles (0.52 us @ 100MHz)
Test Vector  96: 52 cycles (0.52 us @ 100MHz)
Test Vector  97: 52 cycles (0.52 us @ 100MHz)
Test Vector  98: 52 cycles (0.52 us @ 100MHz)
Test Vector  99: 52 cycles (0.52 us @ 100MHz)
Test Vector 100: 52 cycles (0.52 us @ 100MHz)

==========================================================
SUMMARY
==========================================================
Total Test Vectors: 100
Total Cycles:       5200
Average Cycles:     52.00
Total Time:         52.00 us @ 100MHz
Average Time:       0.52 us @ 100MHz
Throughput:         1923.08 computations/ms @ 100MHz
==========================================================
