==========================================================
GRU Cell Parallel Cycle Count Results
==========================================================
Parameters:
  D (Input Dimension):     64
Test Vector  94: 36 cycles (0.36 us @ 100MHz)
Test Vector  95: 36 cycles (0.36 us @ 100MHz)
Test Vector  96: 36 cycles (0.36 us @ 100MHz)
Test Vector  97: 36 cycles (0.36 us @ 100MHz)
Test Vector  98: 36 cycles (0.36 us @ 100MHz)
Test Vector  99: 36 cycles (0.36 us @ 100MHz)
Test Vector 100: 36 cycles (0.36 us @ 100MHz)

==========================================================
SUMMARY
==========================================================
Total Test Vectors: 100
Total Cycles:       3600
Average Cycles:     36.00
Total Time:         36.00 us @ 100MHz
Average Time:       0.36 us @ 100MHz
Throughput:         2777.78 computations/ms @ 100MHz
==========================================================
