==========================================================
GRU Cell Parallel Cycle Count Results
==========================================================
Parameters:
  D (Input Dimension):     64
Test Vector  47: 12 cycles (0.12 us @ 100MHz)
Test Vector  48: 12 cycles (0.12 us @ 100MHz)
Test Vector  49: 12 cycles (0.12 us @ 100MHz)
Test Vector  50: 12 cycles (0.12 us @ 100MHz)
Test Vector  51: 12 cycles (0.12 us @ 100MHz)
Test Vector  52: 12 cycles (0.12 us @ 100MHz)
Test Vector  53: 12 cycles (0.12 us @ 100MHz)
Test Vector  54: 12 cycles (0.12 us @ 100MHz)
Test Vector  55: 12 cycles (0.12 us @ 100MHz)
Test Vector  56: 12 cycles (0.12 us @ 100MHz)
Test Vector  57: 12 cycles (0.12 us @ 100MHz)
Test Vector  58: 12 cycles (0.12 us @ 100MHz)
Test Vector  59: 12 cycles (0.12 us @ 100MHz)
Test Vector  60: 12 cycles (0.12 us @ 100MHz)
Test Vector  61: 12 cycles (0.12 us @ 100MHz)
Test Vector  62: 12 cycles (0.12 us @ 100MHz)
Test Vector  63: 12 cycles (0.12 us @ 100MHz)
Test Vector  64: 12 cycles (0.12 us @ 100MHz)
Test Vector  65: 12 cycles (0.12 us @ 100MHz)
Test Vector  66: 12 cycles (0.12 us @ 100MHz)
Test Vector  67: 12 cycles (0.12 us @ 100MHz)
Test Vector  68: 12 cycles (0.12 us @ 100MHz)
Test Vector  69: 12 cycles (0.12 us @ 100MHz)
Test Vector  70: 12 cycles (0.12 us @ 100MHz)
Test Vector  71: 12 cycles (0.12 us @ 100MHz)
Test Vector  72: 12 cycles (0.12 us @ 100MHz)
Test Vector  73: 12 cycles (0.12 us @ 100MHz)
Test Vector  74: 12 cycles (0.12 us @ 100MHz)
Test Vector  75: 12 cycles (0.12 us @ 100MHz)
Test Vector  76: 12 cycles (0.12 us @ 100MHz)
Test Vector  77: 12 cycles (0.12 us @ 100MHz)
Test Vector  78: 12 cycles (0.12 us @ 100MHz)
Test Vector  79: 12 cycles (0.12 us @ 100MHz)
Test Vector  80: 12 cycles (0.12 us @ 100MHz)
Test Vector  81: 12 cycles (0.12 us @ 100MHz)
Test Vector  82: 12 cycles (0.12 us @ 100MHz)
Test Vector  83: 12 cycles (0.12 us @ 100MHz)
Test Vector  84: 12 cycles (0.12 us @ 100MHz)
Test Vector  85: 12 cycles (0.12 us @ 100MHz)
Test Vector  86: 12 cycles (0.12 us @ 100MHz)
Test Vector  87: 12 cycles (0.12 us @ 100MHz)
Test Vector  88: 12 cycles (0.12 us @ 100MHz)
Test Vector  89: 12 cycles (0.12 us @ 100MHz)
Test Vector  90: 12 cycles (0.12 us @ 100MHz)
Test Vector  91: 12 cycles (0.12 us @ 100MHz)
Test Vector  92: 12 cycles (0.12 us @ 100MHz)
Test Vector  93: 12 cycles (0.12 us @ 100MHz)
Test Vector  94: 12 cycles (0.12 us @ 100MHz)
Test Vector  95: 12 cycles (0.12 us @ 100MHz)
Test Vector  96: 12 cycles (0.12 us @ 100MHz)
Test Vector  97: 12 cycles (0.12 us @ 100MHz)
Test Vector  98: 12 cycles (0.12 us @ 100MHz)
Test Vector  99: 12 cycles (0.12 us @ 100MHz)
Test Vector 100: 12 cycles (0.12 us @ 100MHz)

==========================================================
SUMMARY
==========================================================
Total Test Vectors: 100
Total Cycles:       1200
Average Cycles:     12.00
Total Time:         12.00 us @ 100MHz
Average Time:       0.12 us @ 100MHz
Throughput:         8333.33 computations/ms @ 100MHz
==========================================================
